Constituency,State,MP,Party,Year,,,,,,,,,,,
TIRUPPATTUR,Tamil Nadu, JAYA MOHAN A.,INC,1992,,,,,,,,,,,
VANDAVASI,Tamil Nadu, KRISHNASWAMY M.,INC,1992,,,,,,,,,,,
VELLORE,Tamil Nadu, AKBER PASHA B.,INC,1992,,,,,,,,,,,
AGRA,Uttar Pradesh, BHAGWAN SHANKER RAWAT,BJP,1992,,,,,,,,,,,
AKBARPUR (SC),Uttar Pradesh, RAM AWADH,JD,1992,,,,,,,,,,,
ALIGARH ,Uttar Pradesh,SHILA DEVI GAUTAM (W) ,BJP,1992,,,,,,,,,,,
ALLAHABAD,Uttar Pradesh, SAROJ DUBEY (W),JD,1992,,,,,,,,,,,
ALMORA,Uttar Pradesh, JEEWAN,BJP,1992,,,,,,,,,,,
AMETHI,Uttar Pradesh,C.S.K. SHARMA,INC,1992,,,,,,,,,,,
AMROHA,Uttar Pradesh, CHETAN CHAUHAN,BJP,1992,,,,,,,,,,,
AONLA,Uttar Pradesh, RAJVEER SINGH,BJP,1992,,,,,,,,,,,
AZAMGARH,Uttar Pradesh, CHANDRA JEET,JD,1992,,,,,,,,,,,
BAGHPAT,Uttar Pradesh, AJIT SINGH,JD,1992,,,,,,,,,,,
BAHRAICH ,Uttar Pradesh,RUDRASEN CHOUDHARY ,BJP,1992,,,,,,,,,,,
BALLIA,Uttar Pradesh, CHANDRA SHEKHAR,JP,1992,,,,,,,,,,,
BALRAMPUR,Uttar Pradesh, SATYA DEO SINGH,BJP,1992,,,,,,,,,,,
BANDA,Uttar Pradesh, PRAKASH NARAIN,BJP,1992,,,,,,,,,,,
BANSGAON (SC),Uttar Pradesh, RAJ NARAIYAN,BJP,1992,,,,,,,,,,,
BARA BANKI (SC) ,Uttar Pradesh,RAM SAGAR ,JP,1992,,,,,,,,,,,
BAREILLY,Uttar Pradesh, SANTOSH KUMAR GANGWAR,BJP,1992,,,,,,,,,,,
BASTI (SC),Uttar Pradesh, SHYAM LAL KAMAL,BJP,1992,,,,,,,,,,,
BIJNOR (SC),Uttar Pradesh, MANGAL RAM PREMI,BJP,1992,,,,,,,,,,,
BILHAUR,Uttar Pradesh, SHYAM BIHARI MISHRA,BJP,1992,,,,,,,,,,,
BUDAUN,Uttar Pradesh, CHINMAYA NAND,BJP,1992,,,,,,,,,,,
BULANDSHAHR,Uttar Pradesh, CHHATTERPAL,BJP,1992,,,,,,,,,,,
CHAIL,Uttar Pradesh, (SC) SHASHI PRAKASH,JD,1992,,,,,,,,,,,
CHANDAULI,Uttar Pradesh, ANAND RATAN MOURYA,BJP,1992,,,,,,,,,,,
DEORIA,Uttar Pradesh, MOHAN SINGH,JD,1992,,,,,,,,,,,
DOMARIAGANJ,Uttar Pradesh, RAMPAL SINGH,BJP,1992,,,,,,,,,,,
ETAH,Uttar Pradesh, MAHADEEPAK SINGH,BJP,1992,,,,,,,,,,,
ETAWAH,Uttar Pradesh, KANSHI RAM,BSP,1992,,,,,,,,,,,
FAIZABAD,Uttar Pradesh, VINAYA KATIYAR,BJP,1992,,,,,,,,,,,
FARRUKHABAD,Uttar Pradesh, SALMAN KHURSEED,INC,1992,,,,,,,,,,,
FATEHPUR,Uttar Pradesh, VISHWA NATH PRATAP SINGH,JD,1992,,,,,,,,,,,
FIROZABAD (SC),Uttar Pradesh, PRABHU DAYAL KATHERIA,BJP,1992,,,,,,,,,,,
GARHWAL,Uttar Pradesh, BHUWAN CHAND,BJP,1992,,,,,,,,,,,
GHATAMPUR (SC),Uttar Pradesh, KESHARI LAL,JD,1992,,,,,,,,,,,
GHAZIPUR,Uttar Pradesh, BISHVA NATH SHASTRI,CPI,1992,,,,,,,,,,,
GHOSI,Uttar Pradesh, KALP NATH,INC,1992,,,,,,,,,,,
GONDA,Uttar Pradesh, BRIJ BHUSAN SARAN SINGH,BJP,1992,,,,,,,,,,,
GORAKHPUR,Uttar Pradesh, AWAIDYA NATH,BJP,1992,,,,,,,,,,,
HAMIRPUR,Uttar Pradesh, VISHWANATH SHARMA,BJP,1992,,,,,,,,,,,
HAPUR,Uttar Pradesh, RAMESH CHANDRA TOMER,BJP,1992,,,,,,,,,,,
HARDOI (SC),Uttar Pradesh, JAI PRAKASH,BJP,1992,,,,,,,,,,,
HARDWAR (SC) ,Uttar Pradesh,RAM SINGH ,BJP,1992,,,,,,,,,,,
HATHRAS (SC),Uttar Pradesh, LAL BAHADUR RAWAL,BJP,1992,,,,,,,,,,,
JALAUN (SC),Uttar Pradesh, GAYA PRASAD KORI,BJP,1992,,,,,,,,,,,
JALESAR,Uttar Pradesh, SWAMY SURESHNAND,BJP,1992,,,,,,,,,,,
JAUNPUR,Uttar Pradesh, ARJUN SINGH YADAVA,JD,1992,,,,,,,,,,,
JHANSI,Uttar Pradesh, RAJENDRA AGNIHOTRI,BJP,1992,,,,,,,,,,,
KAIRANA,Uttar Pradesh, HARPAL,JD,1992,,,,,,,,,,,
KAISERGANJ,Uttar Pradesh, LAXMI NARAIN MANI TRIPATHI,BJP,1992,,,,,,,,,,,
KANNAUJ,Uttar Pradesh, CHHOTE SINGH YADAV,JP,1992,,,,,,,,,,,
KANPUR,Uttar Pradesh, JAGATVEER SINGH BRON,BJP,1992,,,,,,,,,,,
KHALILABAD,Uttar Pradesh, ASHT BHUJA PRASAD SHUKLA,BJP,1992,,,,,,,,,,,
KHERI,Uttar Pradesh, GENDAN LAL KANAUJIA,BJP,1992,,,,,,,,,,,
KHURJA (SC),Uttar Pradesh, ROSHAN,JD,1992,,,,,,,,,,,
LALGANJ (SC),Uttar Pradesh, RAM BADAN,JD,1992,,,,,,,,,,,
LUCKNOW,Uttar Pradesh, ATAL BEHARI BAJPAI,BJP,1992,,,,,,,,,,,
MACHHLISHAHR,Uttar Pradesh, SHEO SARAN VERMA,JD,1992,,,,,,,,,,,
MAHARAJGANJ,Uttar Pradesh, PANKAJ CHOUDHARI,BJP,1992,,,,,,,,,,,
MAINPURI,Uttar Pradesh, UDAI PRATAP SINGH,JP,1992,,,,,,,,,,,
MATHURA,Uttar Pradesh, SWAMI SAKSHI JI,BJP,1992,,,,,,,,,,,
MIRZAPUR,Uttar Pradesh, BIRENDRA,BJP,1992,,,,,,,,,,,
MISRIKH (SC),Uttar Pradesh, RAM LAL RAHI,INC,1992,,,,,,,,,,,
MOHANLALGANJ (SC),Uttar Pradesh, CHHOTEY LAL,BJP,1992,,,,,,,,,,,
MORADABAD,Uttar Pradesh, GULAM MOHAMMED KHAN,JD,1992,,,,,,,,,,,
MUZAFFARNAGAR,Uttar Pradesh, NARESH KUMAR BALIYAN,BJP,1992,,,,,,,,,,,
NAINITAL,Uttar Pradesh, BALRAJ PASI,BJP,1992,,,,,,,,,,,
PADRAUNA,Uttar Pradesh, RAMNAGINA MISHRA,BJP,1992,,,,,,,,,,,
PHULPUR,Uttar Pradesh, RAM PUJAN PATEL,JD,1992,,,,,,,,,,,
PILIBHIT,Uttar Pradesh, PARASHURAM,BJP,1992,,,,,,,,,,,
PRATAPGARH,Uttar Pradesh, ABHAI PRATAP SINGH,JD,1992,,,,,,,,,,,
RAE BARELI,Uttar Pradesh, SHEILA KAUL (W),INC,1992,,,,,,,,,,,
RAMPUR,Uttar Pradesh, RAJENDRA KUMAR SHARMA,BJP,1992,,,,,,,,,,,
ROBERTSGANJ (SC),Uttar Pradesh, RAM NIHORE,JD,1992,,,,,,,,,,,
SAHARANPUR,Uttar Pradesh, RASHED MASOOD,JD,1992,,,,,,,,,,,
SAIDPUR (SC),Uttar Pradesh, RAJNATH SONKAR SHASTRI,JD,1992,,,,,,,,,,,
SALEMPUR,Uttar Pradesh, HARIKEWAL,JD,1992,,,,,,,,,,,
SAMBHAL,Uttar Pradesh, SRI PAL SINGH,JD,1992,,,,,,,,,,,
SHAHABAD,Uttar Pradesh, SURENDRA PAL PATHAK,BJP,1992,,,,,,,,,,,
SHAHJAHANPUR,Uttar Pradesh, SATYA PAL SINGH YADAV (SIWARA),JD,1992,,,,,,,,,,,
SITAPUR,Uttar Pradesh, JANARDAN PRASAD MISRA,BJP,1992,,,,,,,,,,,
SULTANPUR,Uttar Pradesh, VISHWANATH DASS SHASTRI,BJP,1992,,,,,,,,,,,
TEHRI GARHWAL ,Uttar Pradesh,MANBENDRA SHAH ,BJP,1992,,,,,,,,,,,
UNNAO,Uttar Pradesh, DEVI BUX SINGH,BJP,1992,,,,,,,,,,,
VARANASI,Uttar Pradesh, SHEESH CHANDRA DIXIT,BJP,1992,,,,,,,,,,,
MEERUT,Uttar Pradesh,AMAR PAL SINGH,BJP,1992,,,,,,,,,,,
ALIPURDUARS (ST) ,West Bengal,PIUS TIRKEY ,RSP,1992,,,,,,,,,,,
ARAMBAGH ,West Bengal,ANIL BASU ,CPM,1992,,,,,,,,,,,
ASANSOL,West Bengal, HARADHAN ROY,CPM,1992,,,,,,,,,,,
BALURGHAT (SC),West Bengal, PALAS BARMAN,RSP,1992,,,,,,,,,,,
BANKURA ,West Bengal,BASUDEV ACHARIA ,CPM,1992,,,,,,,,,,,
BARASAT,West Bengal, CHITTA BASU,FBL,1992,,,,,,,,,,,
BARRACKPORE,West Bengal, TARIT BARBAN TOPDAR,CPM,1992,,,,,,,,,,,
BASIRHAT ,West Bengal,MONORANJAN SUR ,CPI,1992,,,,,,,,,,,
BERHAMPORE ,West Bengal,NANI BHATACHARYYA ,RSP,1992,,,,,,,,,,,
BIRBHUM (SC) ,West Bengal,DOME RAMCHANDRA ,CPM,1992,,,,,,,,,,,
BOLPUR,West Bengal, CHATTERJEE SOMNATH,CPM,1992,,,,,,,,,,,
BURDWAN,West Bengal, SUDHIR RAY,CPM,1992,,,,,,,,,,,
CALCUTTA NORTH EAST ,West Bengal,AJIT KUMAR PANJA ,INC,1992,,,,,,,,,,,
CALCUTTA NORTH WEST ,West Bengal,DEBI PROSAD PAL ,INC,1992,,,,,,,,,,,
CALCUTTA SOUTH,West Bengal, MAMATA BANERJEE (W),INC,1992,,,,,,,,,,,
CONTAI,West Bengal, SUDHIR GIRI,CPM,1992,,,,,,,,,,,
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRADHAN ,FBL,1992,,,,,,,,,,,
DARJEELING,West Bengal, INDER JEET,INC,1992,,,,,,,,,,,
DIAMOND HARBOUR,West Bengal, AMAL DUTTA,CPM,1992,,,,,,,,,,,
DUM DUM,West Bengal, NIRMAL KANTI CHATTERJEE,CPM,1992,,,,,,,,,,,
DURGAPUR (SC),West Bengal, PURNA CHANDRA MALIK,CPM,1992,,,,,,,,,,,
HOOGHLY,West Bengal, RUPCHAND PAL,CPM,1992,,,,,,,,,,,
HOWRAH,West Bengal, SUSANTA CHAKRABORTY S/O SUDHIR,CPM,1992,,,,,,,,,,,
JADAVPUR,West Bengal, MALINI BHATTACHARYA (W),CPM,1992,,,,,,,,,,,
JALPAIGURI,West Bengal, JITENDRA NATH DAS,CPM,1992,,,,,,,,,,,
JANGIPUR,West Bengal, ABEDIN ZAINAL,CPM,1992,,,,,,,,,,,
JHARGRAM (ST),West Bengal, RUPCHAND MURMU,CPM,1992,,,,,,,,,,,
JOYNAGAR (SC),West Bengal, SANAT KUMAR MANDAL,RSP,1992,,,,,,,,,,,
KATWA,West Bengal, SAIFUDDIN CHOWDHRY,CPM,1992,,,,,,,,,,,
KRISHNAGAR,West Bengal, AJOY MUKHOPADHYAY,CPM,1992,,,,,,,,,,,
MALDA,West Bengal, ABDUL BARKAT ATAUL GHANI KHAN CHOUDHARY,INC,1992,,,,,,,,,,,
MATHURAPUR (SC),West Bengal, RADHIKA RANJAN PRAMANICK,CPM,1992,,,,,,,,,,,
MIDNAPORE,West Bengal, INDRAJIT GUPTA,CPI,1992,,,,,,,,,,,
MURSHIDABAD,West Bengal, MASUDAL HOSSAIN SYED,CPM,1992,,,,,,,,,,,
NABADWIP (SC),West Bengal, ASIM BALA,CPM,1992,,,,,,,,,,,
PANSKURA,West Bengal, GITA MUKHERJEE (W),CPI,1992,,,,,,,,,,,
PURULIA,West Bengal,B. MAHATO,FBL,1992,,,,,,,,,,,
RAIGANJ,West Bengal, SYBARTA MUKERJEE,CPM,1992,,,,,,,,,,,
SERAMPORE,West Bengal, SUDARSAN ROY CHOWDHURY,CPM,1992,,,,,,,,,,,
TAMLUK,West Bengal, SATYAGOPAL MISRA,CPM,1992,,,,,,,,,,,
ULUBERIA,West Bengal, HANNAN MOLLAH,CPM,1992,,,,,,,,,,,
VISHNUPUR (SC),West Bengal, SUKHENDU KHAN,CPM,1992,,,,,,,,,,,
ADILABAD,Andhra, ALLOLA INDRAKARAN REDDY,TDP,1993,,,,,,,,,,,
AMALAPURAM (SC),Andhra, BALAYOGI G.M.C.,TDP,1993,,,,,,,,,,,
ANAKAPALLI,Andhra, KONATHALA RAMAKRISHNA,INC,1993,,,,,,,,,,,
ANANTAPUR,Andhra, ANANTHA VENKATA REDDY,INC,1993,,,,,,,,,,,
BAPATLA,Andhra, VENKATESWARA RAO DAGGUBATI,TDP,1993,,,,,,,,,,,
BHADRACHALAM (ST),Andhra, KARREDDULA KAMALAKUMARI (W),INC,1993,,,,,,,,,,,
BOBBILI,Andhra, ANANDA GAJAPATHI RAJU POOSAPATHI,INC,1993,,,,,,,,,,,
CHITTOOR,Andhra, M. GNANENDRA REDDY,INC,1993,,,,,,,,,,,
CUDDAPAH,Andhra, Y.S. RAJASEKHAR REDDY,INC,1993,,,,,,,,,,,
ELURU,Andhra, BOLLA BULLIRAMAIAH,TDP,1993,,,,,,,,,,,
GUNTUR,Andhra, LAL JAN BASHA S.M.,TDP,1993,,,,,,,,,,,
HANAMKONDA,Andhra, KAMALUDDIN AHMED,INC,1993,,,,,,,,,,,
HINDUPUR,Andhra, S. GANGADHARA,INC,1993,,,,,,,,,,,
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,MIM,1993,,,,,,,,,,,
KAKINADA,Andhra, THOTA SUBBARAO,TDP,1993,,,,,,,,,,,
KARIMNAGAR,Andhra, CHOKKA RAO JUVVADI,INC,1993,,,,,,,,,,,
KHAMMAM,Andhra, RANGAYYA NAYUDU P.V.,INC,1993,,,,,,,,,,,
KURNOOL,Andhra, K. VIJAYA BHASKARA REDDY,INC,1993,,,,,,,,,,,
MACHILIPATNAM,Andhra, K.P. REDDAIAH,TDP,1993,,,,,,,,,,,
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1993,,,,,,,,,,,
MEDAK,Andhra, N. BAGA REDDY,INC,1993,,,,,,,,,,,
MIRYALGUDA ,Andhra,BHEEMIREDDY NARSIMHA REDDY ,CPM,1993,,,,,,,,,,,
NAGARKURNOOL (SC),Andhra, MALLU RAVI,INC,1993,,,,,,,,,,,
NALGONDA,Andhra, BOMMAGANI DHARMA BIKSHAM,CPI,1993,,,,,,,,,,,
NANDYAL,Andhra,P. V. N. Rao,INC,1993,,,,,,,,,,,
NARASAPUR,Andhra, VIJAYAKUMAR RAJU BHUPATHIRAJU,TDP,1993,,,,,,,,,,,
NARASARAOPET,Andhra, KASU VENKATA KRISHNA REDDY,INC,1993,,,,,,,,,,,
NELLORE (SC),Andhra, KUDUMULA PADMASRE (W),INC,1993,,,,,,,,,,,
NIZAMABAD,Andhra, GADDAM GANGA REDDY,TDP,1993,,,,,,,,,,,
ONGOLE,Andhra, MANGUNTA SUBBARAMA REDDY,INC,1993,,,,,,,,,,,
PARVATHIPURAM (ST),Andhra, VIJAYARAMARAJU SATRUCHARLA,INC,1993,,,,,,,,,,,
PEDDAPALLI (SC),Andhra, G. VENKAT SWAMY,INC,1993,,,,,,,,,,,
RAJAHMUNDRY,Andhra, K.V.R. CHOWDARY,TDP,1993,,,,,,,,,,,
RAJAMPET,Andhra, ANNAIAHGARI SAIPRATHAP,INC,1993,,,,,,,,,,,
SECUNDERABAD,Andhra, BANDARU DATTATRAYA,BJP,1993,,,,,,,,,,,
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1993,,,,,,,,,,,
SRIKAKULAM ,Andhra,VISWANDHAM KANITHI ,INC,1993,,,,,,,,,,,
TENALI,Andhra, UMMAREDDY VENKATESWARLU,TDP,1993,,,,,,,,,,,
TIRUPATHI (SC),Andhra, CHINTA MOHAN,INC,1993,,,,,,,,,,,
VIJAYAWADA,Andhra, VADDE SOBHANDRESWARA RAO,TDP,1993,,,,,,,,,,,
VISAKHAPATNAM,Andhra, M.V.V.S. MURTHI,TDP,1993,,,,,,,,,,,
WARANGAL,Andhra, SURENDRA REDDY RAMA SAHAYAM,INC,1993,,,,,,,,,,,
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1993,,,,,,,,,,,
ARRAH,Bihar, RAM LAKHAN SINGH YADAV,JD,1993,,,,,,,,,,,
AURANGABAD,Bihar, RAM NARESH SINGH,JD,1993,,,,,,,,,,,
BAGAHA (SC) ,Bihar,MAHENDRA BAITHA ,JD,1993,,,,,,,,,,,
BALIA,Bihar, SURYA NARAYAN SINGH,CPI,1993,,,,,,,,,,,
BANKA,Bihar, PRATAP SINGH,JD,1993,,,,,,,,,,,
BARH,Bihar, NITISH KUMAR,JD,1993,,,,,,,,,,,
BEGUSARAI,Bihar, KRISHNA SAHI (W),INC,1993,,,,,,,,,,,
BETTIAH,Bihar, FAIYAZULAZAM,JD,1993,,,,,,,,,,,
BHAGALPUR,Bihar, CHUNCHUN PRA. YADAV,JD,1993,,,,,,,,,,,
BIKRAMGANJ,Bihar, RAM PRASAD SINGH,JD,1993,,,,,,,,,,,
BUXAR,Bihar, TEJ NARAIN SINGH,CPI,1993,,,,,,,,,,,
CHAPRA,Bihar, LAL BABU RAI,JD,1993,,,,,,,,,,,
CHATRA,Bihar, UPENDRA NATH VERMA,JD,1993,,,,,,,,,,,
DARBHANGA,Bihar, MD. ALI ASRAF FATMI,JD,1993,,,,,,,,,,,
DHANBAD,Bihar, RITA VERMA (W),BJP,1993,,,,,,,,,,,
DUMKA (ST),Bihar, SHIBU SOREN,JMM,1993,,,,,,,,,,,
GAYA (SC),Bihar, RAJESH KUMAR,JD,1993,,,,,,,,,,,
GIRIDIH,Bihar,R. K. MAHTE,JMM,1993,,,,,,,,,,,
GODDA,Bihar, SURAJ MANDAL,JMM,1993,,,,,,,,,,,
GOPALGANJ,Bihar, ABDUL GHAFOOR,JD,1993,,,,,,,,,,,
HAJIPUR (SC),Bihar, RAM SUNDER DAS,JD,1993,,,,,,,,,,,
HAZARIBAGH,Bihar, BHUNESHWAR PRASAD MEHTA,CPI,1993,,,,,,,,,,,
JAHANABAD,Bihar, RAMRAMASHARAY PRASAD SINGH,CPI,1993,,,,,,,,,,,
JAMSHEDPUR,Bihar, SILENDRA MAHTO,JMM,1993,,,,,,,,,,,
JHANJHARPUR,Bihar, DEVENDRA PRASAD YADAV,JD,1993,,,,,,,,,,,
KATIHAR  ,Bihar,MD. YUNUS SALIM,JD,1993,,,,,,,,,,,
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1993,,,,,,,,,,,
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1993,,,,,,,,,,,
KISHANGANJ,Bihar, SYED SHAHABUDDIN,JD,1993,,,,,,,,,,,
KODARMA,Bihar, MUMTAZ ANSARI,JD,1993,,,,,,,,,,,
LOHARDAGA (ST),Bihar, LALIT ORAON,BJP,1993,,,,,,,,,,,
MADHEPURA,Bihar, SHARAD YADAV,JD,1993,,,,,,,,,,,
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1993,,,,,,,,,,,
MAHARAJGANJ,Bihar, GIRIJA DEVI (W),JD,1993,,,,,,,,,,,
MONGHYR,Bihar, BRAHMANAND MANDAL,CPI,1993,,,,,,,,,,,
MOTIHARI,Bihar, KAMLA MISHRA MADHUKAR,CPI,1993,,,,,,,,,,,
MUZAFFARPUR,Bihar, GEORGE FERNANDESE,JD,1993,,,,,,,,,,,
NALANDA,Bihar, VIJOY KUMAR YADAV,CPI,1993,,,,,,,,,,,
NAWADA (SC),Bihar, PREM CHAND RAM,CPM,1993,,,,,,,,,,,
PALAMAU (SC) ,Bihar,RAM DEO RAM,BJP,1993,,,,,,,,,,,
PATNA,Bihar,RAM KRIPAL YADAV,JD,1993,,,,,,,,,,,
PURNEA,Bihar,RAJESH RANJAN (PAPPU YADAV),JD,1993,,,,,,,,,,,
RAJMAHAL (ST),Bihar, SIMON MARANDI,JMM,1993,,,,,,,,,,,
RANCHI,Bihar, RAM TAHAL CHOUDHARY,BJP,1993,,,,,,,,,,,
ROSERA (SC),Bihar, RAM VILAS PASWAN,JD,1993,,,,,,,,,,,
SAHARSA,Bihar, SURYA NARAIN YADAV,JD,1993,,,,,,,,,,,
SAMASTIPUR,Bihar, MANJAY LAL,JD,1993,,,,,,,,,,,
SASARAM (SC),Bihar, CHHEDI PASWAN,JD,1993,,,,,,,,,,,
SHEOHAR,Bihar, HARI KISHORE SINGH,JD,1993,,,,,,,,,,,
SINGHBHUM (ST),Bihar, KRISHNA MARANDI,JMM,1993,,,,,,,,,,,
SITAMARHI,Bihar, NAWAL KISHORE RAY,JD,1993,,,,,,,,,,,
SIWAN,Bihar, BRISHIN PATEL,JD,1993,,,,,,,,,,,
VAISHALI,Bihar, SHEO SHARAN SINGH,JD,1993,,,,,,,,,,,
CHANDNI CHOWK,Delhi, TARA CHAND KHANDELWAL,BJP,1993,,,,,,,,,,,
DELHI SADAR,Delhi, JAGDISH TYTLER,INC,1993,,,,,,,,,,,
EAST DELHI,Delhi, B.L. SHARMA 'PREM',BJP,1993,,,,,,,,,,,
KAROL BAGH (SC) ,Delhi,KALKA DASS ,BJP ,1993,,,,,,,,,,,
NEW DELHI ,Delhi,R. KHANNA,BJP,1993,,,,,,,,,,,
OUTER DELHI,Delhi, SAJJAN KUMAR,INC,1993,,,,,,,,,,,
SOUTH DELHI,Delhi, MADAN LAL KHURANA,BJP,1993,,,,,,,,,,,
AHMEDABAD,Gujarat, HARIN PATHAK,BJP,1993,,,,,,,,,,,
AMRELI,Gujarat, DILIPBHAI SANGHANI,BJP,1993,,,,,,,,,,,
ANAND,Gujarat, CHAVDA ISHVARBHAI KHODABHAI,INC,1993,,,,,,,,,,,
BANASKANTHA,Gujarat, CHAVDA HARISINHJI PATAPSINHJI,BJP,1993,,,,,,,,,,,
BARODA,Gujarat, DIPIKA CHIKHLIYA (W),BJP,1993,,,,,,,,,,,
BHAVNAGAR,Gujarat, MAHAVIRSINH HARISINHJI GOHIL,BJP,1993,,,,,,,,,,,
BROACH,Gujarat, CHANDUBHAI DESHMUKH,BJP,1993,,,,,,,,,,,
BULSAR (ST) ,Gujarat,UTTAMBHAI HARJIBHAI PATEL,INC,1993,,,,,,,,,,,
CHHOTA UDAIPUR (ST) ,Gujarat,NARANBHAI JAMLABHAI RATHAVA ,JD(G),1993,,,,,,,,,,,
DHANDHUKA (SC),Gujarat, RATILAL VERMA,BJP,1993,,,,,,,,,,,
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1993,,,,,,,,,,,
GANDHINAGAR,Gujarat, LAL KRISHNA ADVANI,BJP,1993,,,,,,,,,,,
GODHRA,Gujarat, VEGHELA SHANKERJI LAXMANJI,BJP,1993,,,,,,,,,,,
JAMNAGAR,Gujarat, KORDIYA CHANDRESH KUMAR VALJIBHAI,BJP,1993,,,,,,,,,,,
JUNAGADH,Gujarat, CHIKHALIYA BHAVENABEN DEVRAJBHAI (W),BJP,1993,,,,,,,,,,,
KAIRA,Gujarat, K.D. JESWANI,BJP,1993,,,,,,,,,,,
KAPADVANJ,Gujarat, GABHAJI MANGAJI THAKOR,BJP,1993,,,,,,,,,,,
KUTCH ,Gujarat,PATEL HARILAL NANJI ,INC,1993,,,,,,,,,,,
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC,1993,,,,,,,,,,,
MEHSANA ,Gujarat,A.K. PATEL ,BJP,1993,,,,,,,,,,,
PATAN (SC),Gujarat, MAHESH KANODIYA,BJP,1993,,,,,,,,,,,
PORBANDAR,Gujarat, PATEL HIRALAL MADHAVJIBHAI,BJP,1993,,,,,,,,,,,
RAJKOT,Gujarat, SHIVLALBHAI VERARIA,BJP,1993,,,,,,,,,,,
SABARKANTHA,Gujarat, ARVIND TRIVEDI (LANKESH),BJP,1993,,,,,,,,,,,
SURAT,Gujarat, KASHIRAM RANA,BJP,1993,,,,,,,,,,,
SURENDRANAGAR,Gujarat, KOLIPATEL SOMABHAI GADABHAI,BJP,1993,,,,,,,,,,,
AMBALA (SC) ,Haryana,RAM PRAKASH ,INC,1993,,,,,,,,,,,
BHIWANI,Haryana, JANGBIR SINGH,HVP,1993,,,,,,,,,,,
FARIDABAD,Haryana, AVTAR SINGH BHADANA,INC,1993,,,,,,,,,,,
HISSAR,Haryana, NARAIN SINGH,INC,1993,,,,,,,,,,,
KARNAL,Haryana, CHIRANJI LAL SHARMA,INC,1993,,,,,,,,,,,
KURUKSHETRA,Haryana, TARA SINGH,INC,1993,,,,,,,,,,,
MAHENDRAGARH,Haryana, RAM SINGH,INC,1993,,,,,,,,,,,
ROHTAK,Haryana, BHUPENDER SINGH,INC,1993,,,,,,,,,,,
SIRSA (SC) ,Haryana,SHAILJA (W) ,INC,1993,,,,,,,,,,,
SONEPAT,Haryana, DHARAMPAL SINGH,INC,1993,,,,,,,,,,,
HAMIRPUR ,Himachal Pradesh,PREM KUMAR DHUMAL ,BJP,1993,,,,,,,,,,,
KANGRA,Himachal Pradesh, D.D. KHANORIA,BJP,1993,,,,,,,,,,,
MANDI,Himachal Pradesh, SUKH RAM,INC,1993,,,,,,,,,,,
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT SULTANPURI ,INC,1993,,,,,,,,,,,
BAGALKOT,Karnataka, SIDDAPPA BHIMAPPA NYAMAGOUDAR,INC,1993,,,,,,,,,,,
BANGALORE NORTH ,Karnataka,C.K. JAFFER SHARIEF ,INC,1993,,,,,,,,,,,
BANGALORE SOUTH,Karnataka, K. VENKATGIRI GOWDA,BJP,1993,,,,,,,,,,,
BELGAUM,Karnataka, SIDNAL SHANMUKHAPPA BASAPPA,INC,1993,,,,,,,,,,,
BELLARY,Karnataka, BASAVARAJESHWARI (W),INC,1993,,,,,,,,,,,
BIDAR (SC) ,Karnataka,RAMCHANDRA VEERAPPA ,BJP,1993,,,,,,,,,,,
BIJAPUR ,Karnataka,GUDADINNI BASAGONDAPPA KADAPPA,INC,1993,,,,,,,,,,,
CHAMARAJANAGAR (SC) ,Karnataka,V. SREENIVASA PRASAD ,INC,1993,,,,,,,,,,,
CHIKBALLAPUR,Karnataka, V. KRISHNA RAO,INC,1993,,,,,,,,,,,
CHIKKODI (SC),Karnataka, B. SHANKARANAND,INC,1993,,,,,,,,,,,
CHIKMAGALUR,Karnataka, D.K. THARADEVI (W),INC,1993,,,,,,,,,,,
CHITRADURGA,Karnataka, C.P. MUDALAGIRIYAPPA,INC,1993,,,,,,,,,,,
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1993,,,,,,,,,,,
DHARWAD NORTH,Karnataka, D.K. NAIKAR,INC,1993,,,,,,,,,,,
DHARWAD SOUTH,Karnataka, B.M. MUJAHID,INC,1993,,,,,,,,,,,
GULBARGA,Karnataka, B.G. JAWALI,INC,1993,,,,,,,,,,,
HASSAN,Karnataka, H.D. DEVEGOWDA,JP,1993,,,,,,,,,,,
KANAKAPURA,Karnataka, M.V. CHANDRASHEKARA MURTHY,INC,1993,,,,,,,,,,,
KANARA,Karnataka, NAIK G. DEVARAYA,INC,1993,,,,,,,,,,,
KOLAR (SC),Karnataka, K.H. MUNIYAPPA,INC,1993,,,,,,,,,,,
KOPPAL,Karnataka, ANWARI BASAVARAJ PATIL,INC,1993,,,,,,,,,,,
